feature,value,shap_value
자산,12316,-0.057171296
자산,84557,-1.1646377
자산,6010,0.5475581
자산,27520,-0.61033976
자산,23500,-0.6533484
자산,159550,-1.3801908
자산,290106,-1.6000292
자산,20878,-0.61560977
자산,107260,-1.9594965
자산,2917,0.7218352
자산,50915,-0.81610245
자산,64070,-0.72963464
자산,124920,-1.8181949
자산,21062,-0.43203974
자산,17653,-0.620535
자산,26690,-0.30877078
자산,58950,-0.7217659
자산,118136,-1.9492064
자산,42255,-0.6492249
자산,12280,-0.15998957
자산,66590,-0.74551284
자산,5800,0.31162173
자산,6725,0.24692748
자산,58300,-0.76688683
자산,9550,0.009678284
자산,11600,-0.21670689
자산,73080,-0.22137943
자산,6802,0.32937294
자산,69000,-0.32767352
자산,531286,-1.0128213
자산,9800,0.109182045
자산,67230,-0.63574654
자산,50385,-0.88010937
자산,1968,1.2894125
자산,109330,-1.8499985
자산,858,1.2681887
자산,247260,-1.4602294
자산,23025,-0.47363085
자산,19183,-0.8316893
자산,74484,-0.46803486
자산,40656,-0.7520478
자산,72160,-0.70245606
자산,24793,-0.48501474
자산,49625,-0.70809555
자산,21822,-0.39519003
자산,7260,0.22077309
자산,102350,-1.977729
자산,71179,-0.4974848
자산,47890,-0.7607486
자산,83304,-1.1334506
자산,26590,-0.44799715
자산,49265,-0.8433491
자산,25432,-0.61658126
자산,30605,-0.8402736
자산,85292,-1.5665545
자산,17668,-0.7916537
자산,41540,-0.64787805
자산,136735,-1.2583069
자산,32020,-0.8390196
자산,60800,-0.935419
자산,14490,-0.30203885
자산,24800,-0.36152396
자산,4400,0.28898513
자산,13584,-0.16057838
자산,19594,-0.527553
자산,43333,-0.6012142
자산,9625,0.06274823
자산,23725,-0.6091435
자산,28013,-1.0186381
자산,107050,-2.233518
자산,160251,-1.60687
자산,12430,-0.22779325
자산,89180,-1.0900158
자산,35400,-0.66268635
자산,53954,-0.6311533
자산,54800,-0.7317076
자산,17385,-0.49926925
자산,26938,-0.5728571
자산,37934,-0.57456213
자산,32406,-0.61686206
자산,2020,1.1292092
자산,67976,-0.70437956
자산,10224,0.0910532
자산,108640,-2.0390694
자산,32040,-0.8859993
자산,44260,-0.54888797
자산,38283,-0.6954928
자산,62324,-0.68721837
자산,7330,0.34776753
자산,280528,-1.1958039
자산,13360,-0.10655054
자산,15100,-0.101304114
자산,51216,-0.73504066
자산,40417,-0.6315289
자산,278612,-1.6255902
자산,4526,0.20963481
자산,26068,-0.4291108
자산,67094,-0.8520242
자산,27726,-1.0925715
자산,64944,-0.8687834
자산,88127,-1.1588777
자산,32654,-0.5449953
자산,2280,1.5261524
자산,27290,-0.22758766
자산,79740,-1.0798326
자산,15800,-0.815642
자산,39244,-0.74585766
자산,5720,0.2840299
자산,8850,0.20823547
자산,13320,0.105538815
자산,102830,-1.9287323
자산,1444,1.0097171
자산,48450,-0.7610715
자산,42120,-0.7569331
자산,6420,0.29503024
자산,17290,-0.6410165
자산,20600,-0.6649658
자산,143498,-1.5981308
자산,66666,-0.8201611
자산,25548,-0.32047117
자산,102230,-2.0022228
자산,18840,-0.6870112
자산,17342,-0.72095656
자산,27218,-0.20907491
자산,3179,0.7085399
자산,56420,-0.7515148
자산,2393,1.1643475
자산,359920,-1.3049953
자산,836,1.6345136
자산,4500,0.103355005
자산,15018,-0.10434502
자산,31334,-0.8903127
자산,38058,-0.67874753
자산,5243,0.3814105
자산,480,1.5107723
자산,23394,-0.44499463
자산,95888,-0.7323832
자산,18810,-0.51631075
자산,37310,-0.8415853
자산,17582,-0.44482142
자산,43710,-0.6248572
자산,12055,-0.0683161
자산,5259,0.24904348
자산,32948,-0.637072
자산,34662,-0.6465066
자산,11301,-0.088021114
자산,89465,-0.98160195
자산,28671,-0.97292084
자산,17046,-0.40880623
자산,34903,-0.50285214
자산,18873,-0.7804169
자산,72600,-0.3537498
자산,3470,0.65594417
자산,19032,-0.7543262
자산,8250,0.30373603
자산,17475,-0.50700885
자산,51340,-0.7368666
자산,215250,-1.8066468
자산,150512,-1.5797093
자산,68389,-0.5099581
자산,26780,-0.3537949
자산,20270,-0.51420134
자산,30955,-0.7139008
자산,23206,-0.5344529
자산,10068,0.07530836
자산,56799,-0.9188603
자산,18075,-0.35431632
자산,22088,-0.51964176
자산,27871,-1.0529186
자산,14320,-0.17533918
자산,68343,-0.68117577
자산,86453,-1.2409388
자산,22590,-0.28728884
자산,23643,-0.4097988
자산,96442,-0.8663013
자산,60512,-0.8048368
자산,14450,-0.19805223
자산,68932,-0.397503
자산,2155,1.3163196
자산,1311,1.3408846
자산,13560,-0.244214
자산,67234,-0.8310044
자산,91760,-1.1237625
자산,62320,-0.7979466
자산,18002,-0.59185165
자산,59105,-0.6630749
자산,45682,-0.68179715
자산,39617,-0.77825385
자산,39208,-0.8930659
자산,22900,-0.7105479
자산,39960,-0.80809844
자산,83465,-0.82254237
자산,17105,-0.53404206
자산,1087,1.4472585
자산,85200,-1.4528153
자산,54000,-0.8624609
자산,1050,1.807362
자산,31217,-0.5986074
자산,32220,-0.39985776
자산,26245,-0.4423512
자산,41704,-0.7853692
자산,22753,-0.4906368
자산,32040,-0.77186316
자산,52166,-0.67777246
자산,2940,0.7929022
자산,52207,-0.6004949
자산,98833,-1.8058342
자산,55828,-0.65166026
자산,29055,-0.8099243
자산,1250,1.7557715
자산,13850,-0.3034188
